adm0_en,len_crs,area_crs,len_km,area_km2
Philippines (the),507,8781,0,0.0
Philippines (the),947,33879,0,0.0
Philippines (the),51409,44698305,51,44.0
Philippines (the),799,18481,0,0.0
Philippines (the),24650,14298600,24,14.0
Philippines (the),295,3889,0,0.0
Philippines (the),588,15069,0,0.0
Philippines (the),2762,244119,2,0.0
Philippines (the),2429,238790,2,0.0
Philippines (the),334,3012,0,0.0
Philippines (the),1707,91293,1,0.0
Philippines (the),553,19111,0,0.0
Philippines (the),2144,193775,2,0.0
Philippines (the),515,14203,0,0.0
Philippines (the),455,12527,0,0.0
Philippines (the),607,25514,0,0.0
Philippines (the),883,24504,0,0.0
Philippines (the),27790,10971412,27,10.0
Philippines (the),707,19243,0,0.0
Philippines (the),11380,2217246,11,2.0
Philippines (the),6036,832020,6,0.0
Philippines (the),2222,210673,2,0.0
Philippines (the),1657,55045,1,0.0
Philippines (the),319,6856,0,0.0
Philippines (the),2757,47743,2,0.0
Philippines (the),7205,700721,7,0.0
Philippines (the),1315,52036,1,0.0
Philippines (the),1127,86494,1,0.0
Philippines (the),3249,336032,3,0.0
Philippines (the),219,3307,0,0.0
Philippines (the),4056,702501,4,0.0
Philippines (the),598,25177,0,0.0
Philippines (the),364,8893,0,0.0
Philippines (the),3417,392646,3,0.0
Philippines (the),890,49302,0,0.0
Philippines (the),589,22817,0,0.0
Philippines (the),1268,79372,1,0.0
Philippines (the),1753,100737,1,0.0
Philippines (the),740,33974,0,0.0
Philippines (the),725,36877,0,0.0
Philippines (the),642,18787,0,0.0
Philippines (the),172,2133,0,0.0
Philippines (the),463,7823,0,0.0
Philippines (the),611,27200,0,0.0
Philippines (the),856,17954,0,0.0
Philippines (the),178,2260,0,0.0
Philippines (the),529,20114,0,0.0
Philippines (the),310,5647,0,0.0
Philippines (the),502,16160,0,0.0
Philippines (the),459,5678,0,0.0
Philippines (the),374,8985,0,0.0
Philippines (the),16675,6896902,16,6.0
Philippines (the),260,4068,0,0.0
Philippines (the),300,5558,0,0.0
Philippines (the),297,5531,0,0.0
Philippines (the),304,5258,0,0.0
Philippines (the),591,25603,0,0.0
Philippines (the),957,32929,0,0.0
Philippines (the),249,2971,0,0.0
Philippines (the),154,1524,0,0.0
Philippines (the),655,28937,0,0.0
Philippines (the),248,2669,0,0.0
Philippines (the),647,6752,0,0.0
Philippines (the),1319,69087,1,0.0
Philippines (the),4527,318782,4,0.0
Philippines (the),408,6415,0,0.0
Philippines (the),930,31316,0,0.0
Philippines (the),439,14077,0,0.0
Philippines (the),359,6523,0,0.0
Philippines (the),460,15222,0,0.0
Philippines (the),499,15520,0,0.0
Philippines (the),618,27862,0,0.0
Philippines (the),771,25499,0,0.0
Philippines (the),989,37275,0,0.0
Philippines (the),882,46629,0,0.0
Philippines (the),711,23655,0,0.0
Philippines (the),6563,1259325,6,1.0
Philippines (the),359,8914,0,0.0
Philippines (the),3745,283308,3,0.0
Philippines (the),837,47560,0,0.0
Philippines (the),1601,86182,1,0.0
Philippines (the),5167,95066,5,0.0
Philippines (the),673,33713,0,0.0
Philippines (the),1370,78732,1,0.0
Philippines (the),809,10513,0,0.0
Philippines (the),1791,145024,1,0.0
Philippines (the),13217,4719768,13,4.0
Philippines (the),1483,55997,1,0.0
Philippines (the),566,20602,0,0.0
Philippines (the),4197,609948,4,0.0
Philippines (the),1898,181155,1,0.0
Philippines (the),2193,114306,2,0.0
Philippines (the),3859,296180,3,0.0
Philippines (the),1091,58323,1,0.0
Philippines (the),7215,1729891,7,1.0
Philippines (the),1765,145610,1,0.0
Philippines (the),778,36332,0,0.0
Philippines (the),3002,313358,3,0.0
Philippines (the),894,27847,0,0.0
Philippines (the),918,64340,0,0.0
Philippines (the),1074,38377,1,0.0
Philippines (the),2167,77956,2,0.0
Philippines (the),1914,185618,1,0.0
Philippines (the),2023,46220,2,0.0
Philippines (the),903,17686,0,0.0
Philippines (the),814,41541,0,0.0
Philippines (the),784,33756,0,0.0
Philippines (the),196,2457,0,0.0
Philippines (the),331,5206,0,0.0
Philippines (the),921,40451,0,0.0
Philippines (the),1038,52300,1,0.0
Philippines (the),3729,75649,3,0.0
Philippines (the),1229,58690,1,0.0
Philippines (the),6864,2452886,6,2.0
Philippines (the),1097,72703,1,0.0
Philippines (the),1563,112392,1,0.0
Philippines (the),695,13519,0,0.0
Philippines (the),1392,24307,1,0.0
Philippines (the),1670,127576,1,0.0
Philippines (the),3306,75687,3,0.0
Philippines (the),8480,923042,8,0.0
Philippines (the),4137,426675,4,0.0
Philippines (the),3730,396601,3,0.0
Philippines (the),2896,43749,2,0.0
Philippines (the),2816,69678,2,0.0
Philippines (the),383,2470,0,0.0
Philippines (the),1121,27874,1,0.0
Philippines (the),20712,4119916,20,4.0
Philippines (the),647,6202,0,0.0
Philippines (the),6422,312810,6,0.0
Philippines (the),2829,297728,2,0.0
Philippines (the),566,6421,0,0.0
Philippines (the),945,36650,0,0.0
Philippines (the),695,20352,0,0.0
Philippines (the),49694,42209029,49,42.0
Philippines (the),582,8278,0,0.0
Philippines (the),1104,19654,1,0.0
Philippines (the),908,11668,0,0.0
Philippines (the),4571,932309,4,0.0
Philippines (the),39755,15352540,39,15.0
Philippines (the),413,11296,0,0.0
Philippines (the),404,10770,0,0.0
Philippines (the),1992,193272,1,0.0
Philippines (the),814,26936,0,0.0
Philippines (the),3470,535584,3,0.0
Philippines (the),1193,73202,1,0.0
Philippines (the),809,41118,0,0.0
Philippines (the),881,48282,0,0.0
Philippines (the),5799,1435698,5,1.0
Philippines (the),766,40864,0,0.0
Philippines (the),625,28880,0,0.0
Philippines (the),5475,761615,5,0.0
Philippines (the),1358,70572,1,0.0
Philippines (the),1594,83762,1,0.0
Philippines (the),4135,315070,4,0.0
Philippines (the),4725,731370,4,0.0
Philippines (the),2426,183615,2,0.0
Philippines (the),734,28311,0,0.0
Philippines (the),334,7431,0,0.0
Philippines (the),2211,93842,2,0.0
Philippines (the),1273,95547,1,0.0
Philippines (the),169,1269,0,0.0
Philippines (the),340,2737,0,0.0
Philippines (the),740,33732,0,0.0
Philippines (the),817,42913,0,0.0
Philippines (the),2223,71524,2,0.0
