ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM_ID,UPDATED,PERIMETER,AREA,LONGITUDE,LATITUDE
Adams,PH012801000,Ilocos Norte,PH012800000,Region I,PH010000000,12801000,12/31/19,45988.487,111143025.3,120.919,18.453
Bacarra,PH012802000,Ilocos Norte,PH012800000,Region I,PH010000000,12802000,12/31/19,33300.976,55303194.75,120.613,18.267
Badoc,PH012803000,Ilocos Norte,PH012800000,Region I,PH010000000,12803000,12/31/19,64955.865,80683969.96,120.509,17.906
Bangui,PH012804000,Ilocos Norte,PH012800000,Region I,PH010000000,12804000,12/31/19,52052.424,115059041.3,120.75,18.49
City of Batac,PH012805000,Ilocos Norte,PH012800000,Region I,PH010000000,12805000,12/31/19,66634.568,158123132.2,120.584,18.038
Carasi,PH012807000,Ilocos Norte,PH012800000,Region I,PH010000000,12807000,12/31/19,56945.422,173051816.9,120.865,18.219
Currimao,PH012808000,Ilocos Norte,PH012800000,Region I,PH010000000,12808000,12/31/19,41096.33,33432501.76,120.5,18.011
Dingras,PH012809000,Ilocos Norte,PH012800000,Region I,PH010000000,12809000,12/31/19,55291.62,108365205.5,120.721,18.077
Dumalneg,PH012810000,Ilocos Norte,PH012800000,Region I,PH010000000,12810000,12/31/19,40929.544,66747884.81,120.839,18.477
Banna,PH012811000,Ilocos Norte,PH012800000,Region I,PH010000000,12811000,12/31/19,44691.459,91133239.5,120.655,17.967
Laoag City,PH012812000,Ilocos Norte,PH012800000,Region I,PH010000000,12812000,12/31/19,53942.312,110056243.4,120.577,18.195
Marcos,PH012813000,Ilocos Norte,PH012800000,Region I,PH010000000,12813000,12/31/19,46875.037,79404206.99,120.695,18.025
Nueva Era,PH012814000,Ilocos Norte,PH012800000,Region I,PH010000000,12814000,12/31/19,161038.204,608595757.2,120.781,17.982
Pagudpud,PH012815000,Ilocos Norte,PH012800000,Region I,PH010000000,12815000,12/31/19,85620.688,193172907.4,120.863,18.563
Paoay,PH012816000,Ilocos Norte,PH012800000,Region I,PH010000000,12816000,12/31/19,43861.446,69501881.99,120.519,18.085
Pasuquin,PH012817000,Ilocos Norte,PH012800000,Region I,PH010000000,12817000,12/31/19,70803.058,176674045,120.639,18.371
Piddig,PH012818000,Ilocos Norte,PH012800000,Region I,PH010000000,12818000,12/31/19,59599.105,123582183.2,120.75,18.18
Pinili,PH012819000,Ilocos Norte,PH012800000,Region I,PH010000000,12819000,12/31/19,45380.104,63610092.89,120.543,17.948
San Nicolas,PH012820000,Ilocos Norte,PH012800000,Region I,PH010000000,12820000,12/31/19,29471.261,41944114.87,120.595,18.146
Sarrat,PH012821000,Ilocos Norte,PH012800000,Region I,PH010000000,12821000,12/31/19,33355.817,56899256.45,120.647,18.135
Solsona,PH012822000,Ilocos Norte,PH012800000,Region I,PH010000000,12822000,12/31/19,47299.319,90338438.02,120.792,18.101
Vintar,PH012823000,Ilocos Norte,PH012800000,Region I,PH010000000,12823000,12/31/19,105702.948,530958638.1,120.783,18.329
Alilem,PH012901000,Ilocos Sur,PH012900000,Region I,PH010000000,12901000,12/31/19,50124.707,114414332.1,120.578,16.893
Banayoyo,PH012902000,Ilocos Sur,PH012900000,Region I,PH010000000,12902000,12/31/19,24929.415,25093986.98,120.493,17.246
Bantay,PH012903000,Ilocos Sur,PH012900000,Region I,PH010000000,12903000,12/31/19,45246.866,75115393.68,120.452,17.598
Burgos,PH012904000,Ilocos Sur,PH012900000,Region I,PH010000000,12904000,12/31/19,31419.747,50927646.64,120.515,17.314
Cabugao,PH012905000,Ilocos Sur,PH012900000,Region I,PH010000000,12905000,12/31/19,50218.372,112216588.5,120.496,17.788
City of Candon,PH012906000,Ilocos Sur,PH012900000,Region I,PH010000000,12906000,12/31/19,62216.46,77575192.3,120.465,17.193
Caoayan,PH012907000,Ilocos Sur,PH012900000,Region I,PH010000000,12907000,12/31/19,26289.691,17516504.07,120.391,17.535
Cervantes,PH012908000,Ilocos Sur,PH012900000,Region I,PH010000000,12908000,12/31/19,63130.822,242989744,120.707,16.99
Galimuyod,PH012909000,Ilocos Sur,PH012900000,Region I,PH010000000,12909000,12/31/19,32786.687,34119872.51,120.514,17.188
Gregorio del Pilar,PH012910000,Ilocos Sur,PH012900000,Region I,PH010000000,12910000,12/31/19,32710.279,54078750.55,120.612,17.152
Lidlidda,PH012911000,Ilocos Sur,PH012900000,Region I,PH010000000,12911000,12/31/19,23219.316,34149284.38,120.532,17.259
Magsingal,PH012912000,Ilocos Sur,PH012900000,Region I,PH010000000,12912000,12/31/19,48263.895,82420578.49,120.452,17.683
Nagbukel,PH012913000,Ilocos Sur,PH012900000,Region I,PH010000000,12913000,12/31/19,32065.53,42420125.24,120.551,17.44
Narvacan,PH012914000,Ilocos Sur,PH012900000,Region I,PH010000000,12914000,12/31/19,62002.278,103366133.6,120.501,17.447
Quirino,PH012915000,Ilocos Sur,PH012900000,Region I,PH010000000,12915000,12/31/19,62086.529,182417411.2,120.711,17.123
Salcedo,PH012916000,Ilocos Sur,PH012900000,Region I,PH010000000,12916000,12/31/19,41549.727,82966133.63,120.549,17.12
San Emilio,PH012917000,Ilocos Sur,PH012900000,Region I,PH010000000,12917000,12/31/19,53041.187,151447914.7,120.608,17.24
San Esteban,PH012918000,Ilocos Sur,PH012900000,Region I,PH010000000,12918000,12/31/19,21745.539,17413144.43,120.453,17.325
San Ildefonso,PH012919000,Ilocos Sur,PH012900000,Region I,PH010000000,12919000,12/31/19,20000.469,11742210.69,120.406,17.619
San Juan,PH012920000,Ilocos Sur,PH012900000,Region I,PH010000000,12920000,12/31/19,43853.152,68474907.38,120.479,17.733
San Vicente,PH012921000,Ilocos Sur,PH012900000,Region I,PH010000000,12921000,12/31/19,22989.154,13213441.18,120.367,17.612
Santa,PH012922000,Ilocos Sur,PH012900000,Region I,PH010000000,12922000,12/31/19,52060.951,59235396.3,120.443,17.518
Santa Catalina,PH012923000,Ilocos Sur,PH012900000,Region I,PH010000000,12923000,12/31/19,16853.837,8947332.422,120.356,17.586
Santa Cruz,PH012924000,Ilocos Sur,PH012900000,Region I,PH010000000,12924000,12/31/19,40544.677,91954721.45,120.483,17.056
Santa Lucia,PH012925000,Ilocos Sur,PH012900000,Region I,PH010000000,12925000,12/31/19,31800.118,44220211.12,120.471,17.126
Santa Maria,PH012926000,Ilocos Sur,PH012900000,Region I,PH010000000,12926000,12/31/19,41200.188,56487535.98,120.497,17.367
Santiago,PH012927000,Ilocos Sur,PH012900000,Region I,PH010000000,12927000,12/31/19,34595.709,47754209.22,120.449,17.273
Santo Domingo,PH012928000,Ilocos Sur,PH012900000,Region I,PH010000000,12928000,12/31/19,39116.188,48567924.09,120.42,17.644
Sigay,PH012929000,Ilocos Sur,PH012900000,Region I,PH010000000,12929000,12/31/19,40048.805,92234565.24,120.605,17.056
Sinait,PH012930000,Ilocos Sur,PH012900000,Region I,PH010000000,12930000,12/31/19,37954.213,68864720.17,120.488,17.859
Sugpon,PH012931000,Ilocos Sur,PH012900000,Region I,PH010000000,12931000,12/31/19,64576.131,106326068.1,120.559,16.779
Suyo,PH012932000,Ilocos Sur,PH012900000,Region I,PH010000000,12932000,12/31/19,55963.272,163628766.1,120.556,16.979
Tagudin,PH012933000,Ilocos Sur,PH012900000,Region I,PH010000000,12933000,12/31/19,37902.695,58516792.51,120.462,16.938
City of Vigan,PH012934000,Ilocos Sur,PH012900000,Region I,PH010000000,12934000,12/31/19,25101.928,24458494.32,120.388,17.563
Agoo,PH013301000,La Union,PH013300000,Region I,PH010000000,13301000,12/31/19,32998.604,48145974.14,120.371,16.326
Aringay,PH013302000,La Union,PH013300000,Region I,PH010000000,13302000,12/31/19,57237.716,97190342.75,120.404,16.41
Bacnotan,PH013303000,La Union,PH013300000,Region I,PH010000000,13303000,12/31/19,39292.163,76403506.79,120.374,16.744
Bagulin,PH013304000,La Union,PH013300000,Region I,PH010000000,13304000,12/31/19,47359.472,90570808.33,120.475,16.609
Balaoan,PH013305000,La Union,PH013300000,Region I,PH010000000,13305000,12/31/19,47154.607,62025483.42,120.401,16.806
Bangar,PH013306000,La Union,PH013300000,Region I,PH010000000,13306000,12/31/19,27150.321,35221472.46,120.432,16.88
Bauang,PH013307000,La Union,PH013300000,Region I,PH010000000,13307000,12/31/19,39735.276,75806367.58,120.346,16.513
Burgos,PH013308000,La Union,PH013300000,Region I,PH010000000,13308000,12/31/19,38596.131,36455468.47,120.47,16.532
Caba,PH013309000,La Union,PH013300000,Region I,PH010000000,13309000,12/31/19,28806.033,46731088.96,120.377,16.44
Luna,PH013310000,La Union,PH013300000,Region I,PH010000000,13310000,12/31/19,34315.903,40505649.93,120.376,16.839
Naguilian,PH013311000,La Union,PH013300000,Region I,PH010000000,13311000,12/31/19,50537.715,102445187.8,120.414,16.526
Pugo,PH013312000,La Union,PH013300000,Region I,PH010000000,13312000,12/31/19,46353.266,52076807.76,120.481,16.313
Rosario,PH013313000,La Union,PH013300000,Region I,PH010000000,13313000,12/31/19,41958.745,78356026.96,120.459,16.245
City of San Fernando,PH013314000,La Union,PH013300000,Region I,PH010000000,13314000,12/31/19,54210.748,98890848.08,120.358,16.608
San Gabriel,PH013315000,La Union,PH013300000,Region I,PH010000000,13315000,12/31/19,58238.134,121799849.1,120.47,16.684
San Juan,PH013316000,La Union,PH013300000,Region I,PH010000000,13316000,12/31/19,36635.065,50594526.96,120.371,16.67
Santo Tomas,PH013317000,La Union,PH013300000,Region I,PH010000000,13317000,12/31/19,44787.009,40981312.62,120.398,16.273
Santol,PH013318000,La Union,PH013300000,Region I,PH010000000,13318000,12/31/19,55968.487,114170403.4,120.492,16.75
Sudipen,PH013319000,La Union,PH013300000,Region I,PH010000000,13319000,12/31/19,57371.998,89862888.94,120.492,16.847
Tubao,PH013320000,La Union,PH013300000,Region I,PH010000000,13320000,12/31/19,36757.815,54336876.29,120.426,16.344
Agno,PH015501000,Pangasinan,PH015500000,Region I,PH010000000,15501000,12/31/19,76190.068,165781943.1,119.804,16.102
Aguilar,PH015502000,Pangasinan,PH015500000,Region I,PH010000000,15502000,12/31/19,67531.342,157855914.9,120.215,15.837
City of Alaminos,PH015503000,Pangasinan,PH015500000,Region I,PH010000000,15503000,12/31/19,165240.287,161781473.2,119.978,16.152
Alcala,PH015504000,Pangasinan,PH015500000,Region I,PH010000000,15504000,12/31/19,36004.932,58537642.62,120.528,15.837
Anda,PH015505000,Pangasinan,PH015500000,Region I,PH010000000,15505000,12/31/19,98744.294,77642581.31,119.976,16.293
Asingan,PH015506000,Pangasinan,PH015500000,Region I,PH010000000,15506000,12/31/19,44005.824,78440853.51,120.653,15.996
Balungao,PH015507000,Pangasinan,PH015500000,Region I,PH010000000,15507000,12/31/19,46135.123,68335107.25,120.694,15.89
Bani,PH015508000,Pangasinan,PH015500000,Region I,PH010000000,15508000,12/31/19,76391.355,181819443.2,119.852,16.209
Basista,PH015509000,Pangasinan,PH015500000,Region I,PH010000000,15509000,12/31/19,23428.875,25596000.11,120.397,15.866
Bautista,PH015510000,Pangasinan,PH015500000,Region I,PH010000000,15510000,12/31/19,37194.241,41399725.56,120.51,15.797
Bayambang,PH015511000,Pangasinan,PH015500000,Region I,PH010000000,15511000,12/31/19,69039.117,136758882.3,120.443,15.789
Binalonan,PH015512000,Pangasinan,PH015500000,Region I,PH010000000,15512000,12/31/19,32975.02,56516900.15,120.595,16.058
Binmaley,PH015513000,Pangasinan,PH015500000,Region I,PH010000000,15513000,12/31/19,37084.859,63740622.41,120.289,16.006
Bolinao,PH015514000,Pangasinan,PH015500000,Region I,PH010000000,15514000,12/31/19,119000.669,206074850.8,119.872,16.323
Bugallon,PH015515000,Pangasinan,PH015500000,Region I,PH010000000,15515000,12/31/19,80113.558,178555353.8,120.175,15.922
Burgos,PH015516000,Pangasinan,PH015500000,Region I,PH010000000,15516000,12/31/19,65780.637,115253184.7,119.843,16.028
Calasiao,PH015517000,Pangasinan,PH015500000,Region I,PH010000000,15517000,12/31/19,37056.528,47437085.05,120.36,15.993
Dagupan City,PH015518000,Pangasinan,PH015500000,Region I,PH010000000,15518000,12/31/19,44996.467,43193113.97,120.345,16.054
Dasol,PH015519000,Pangasinan,PH015500000,Region I,PH010000000,15519000,12/31/19,103321.692,177581626.1,119.898,15.947
Infanta,PH015520000,Pangasinan,PH015500000,Region I,PH010000000,15520000,12/31/19,102179.39,192651917.7,120.009,15.865
Labrador,PH015521000,Pangasinan,PH015500000,Region I,PH010000000,15521000,12/31/19,52310.771,103034451.5,120.116,15.998
Lingayen,PH015522000,Pangasinan,PH015500000,Region I,PH010000000,15522000,12/31/19,64900.722,71420833.16,120.222,16.003
Mabini,PH015523000,Pangasinan,PH015500000,Region I,PH010000000,15523000,12/31/19,90085.525,256922207.2,119.982,16.013
Malasiqui,PH015524000,Pangasinan,PH015500000,Region I,PH010000000,15524000,12/31/19,51125.654,137931736.2,120.455,15.909
Manaoag,PH015525000,Pangasinan,PH015500000,Region I,PH010000000,15525000,12/31/19,47694.158,52135134.72,120.501,16.031
Mangaldan,PH015526000,Pangasinan,PH015500000,Region I,PH010000000,15526000,12/31/19,37289.392,48327042.69,120.401,16.062
Mangatarem,PH015527000,Pangasinan,PH015500000,Region I,PH010000000,15527000,12/31/19,87206.053,308191962.7,120.28,15.736
Mapandan,PH015528000,Pangasinan,PH015500000,Region I,PH010000000,15528000,12/31/19,23368.899,20415764.56,120.456,16.02
Natividad,PH015529000,Pangasinan,PH015500000,Region I,PH010000000,15529000,12/31/19,42119.387,94003868.6,120.835,16.048
Pozorrubio,PH015530000,Pangasinan,PH015500000,Region I,PH010000000,15530000,12/31/19,35820.489,70390612.99,120.529,16.113
Rosales,PH015531000,Pangasinan,PH015500000,Region I,PH010000000,15531000,12/31/19,43716.336,72362137.87,120.638,15.869
San Carlos City,PH015532000,Pangasinan,PH015500000,Region I,PH010000000,15532000,12/31/19,68662.396,147826829.5,120.328,15.908
San Fabian,PH015533000,Pangasinan,PH015500000,Region I,PH010000000,15533000,12/31/19,46083.365,75825273.27,120.436,16.145
San Jacinto,PH015534000,Pangasinan,PH015500000,Region I,PH010000000,15534000,12/31/19,34266.204,42358701.5,120.458,16.086
San Manuel,PH015535000,Pangasinan,PH015500000,Region I,PH010000000,15535000,12/31/19,59868.671,137669023.5,120.671,16.104
San Nicolas,PH015536000,Pangasinan,PH015500000,Region I,PH010000000,15536000,12/31/19,61837.889,225227527.9,120.772,16.124
San Quintin,PH015537000,Pangasinan,PH015500000,Region I,PH010000000,15537000,12/31/19,61135.955,85699015.61,120.824,15.985
Santa Barbara,PH015538000,Pangasinan,PH015500000,Region I,PH010000000,15538000,12/31/19,41175.662,62581873.25,120.428,15.988
Santa Maria,PH015539000,Pangasinan,PH015500000,Region I,PH010000000,15539000,12/31/19,41036.473,46662372.96,120.701,15.963
Santo Tomas,PH015540000,Pangasinan,PH015500000,Region I,PH010000000,15540000,12/31/19,15007.961,12391024.87,120.578,15.865
Sison,PH015541000,Pangasinan,PH015500000,Region I,PH010000000,15541000,12/31/19,63160.239,154832644.6,120.558,16.168
Sual,PH015542000,Pangasinan,PH015500000,Region I,PH010000000,15542000,12/31/19,95696.395,132681461.4,120.054,16.087
Tayug,PH015543000,Pangasinan,PH015500000,Region I,PH010000000,15543000,12/31/19,30673.19,43981616.87,120.745,16.013
Umingan,PH015544000,Pangasinan,PH015500000,Region I,PH010000000,15544000,12/31/19,86443.867,258458992.4,120.816,15.902
Urbiztondo,PH015545000,Pangasinan,PH015500000,Region I,PH010000000,15545000,12/31/19,31908.627,40341883.04,120.352,15.825
City of Urdaneta,PH015546000,Pangasinan,PH015500000,Region I,PH010000000,15546000,12/31/19,50115.676,95545987.77,120.56,15.97
Villasis,PH015547000,Pangasinan,PH015500000,Region I,PH010000000,15547000,12/31/19,47216.692,80856018.36,120.566,15.908
Laoac,PH015548000,Pangasinan,PH015500000,Region I,PH010000000,15548000,12/31/19,36147.433,41588601.1,120.543,16.043
Basco,PH020901000,Batanes,PH020900000,Region II,PH020000000,20901000,12/31/19,36097.595,33493610.25,121.993,20.459
Itbayat,PH020902000,Batanes,PH020900000,Region II,PH020000000,20902000,12/31/19,105553.434,89318607.06,121.841,20.769
Ivana,PH020903000,Batanes,PH020900000,Region II,PH020000000,20903000,12/31/19,20851.608,14704850.37,121.931,20.379
Mahatao,PH020904000,Batanes,PH020900000,Region II,PH020000000,20904000,12/31/19,23422.132,11560818.72,121.958,20.405
Sabtang,PH020905000,Batanes,PH020900000,Region II,PH020000000,20905000,12/31/19,53867.161,40985894.73,121.852,20.311
Uyugan,PH020906000,Batanes,PH020900000,Region II,PH020000000,20906000,12/31/19,17454.041,11311040.11,121.952,20.369
Abulug,PH021501000,Cagayan,PH021500000,Region II,PH020000000,21501000,12/31/19,61316.458,132668203.9,121.433,18.391
Alcala,PH021502000,Cagayan,PH021500000,Region II,PH020000000,21502000,12/31/19,67194.383,180520958.2,121.675,17.916
Allacapan,PH021503000,Cagayan,PH021500000,Region II,PH020000000,21503000,12/31/19,72980.625,230647608.5,121.545,18.2
Amulung,PH021504000,Cagayan,PH021500000,Region II,PH020000000,21504000,12/31/19,104269.154,287587346.8,121.695,17.812
Aparri,PH021505000,Cagayan,PH021500000,Region II,PH020000000,21505000,12/31/19,148282.742,261271302.8,121.524,18.535
Baggao,PH021506000,Cagayan,PH021500000,Region II,PH020000000,21506000,12/31/19,158623.523,927444349.5,121.972,17.923
Ballesteros,PH021507000,Cagayan,PH021500000,Region II,PH020000000,21507000,12/31/19,52628.622,129429919,121.506,18.351
Buguey,PH021508000,Cagayan,PH021500000,Region II,PH020000000,21508000,12/31/19,69496.807,128827891.4,121.807,18.243
Calayan,PH021509000,Cagayan,PH021500000,Region II,PH020000000,21509000,12/31/19,276679.736,502715578.8,121.651,19.187
Camalaniugan,PH021510000,Cagayan,PH021500000,Region II,PH020000000,21510000,12/31/19,48695.39,89203841.49,121.689,18.27
Claveria,PH021511000,Cagayan,PH021500000,Region II,PH020000000,21511000,12/31/19,64452.835,128943013.6,121.093,18.575
Enrile,PH021512000,Cagayan,PH021500000,Region II,PH020000000,21512000,12/31/19,61298.032,152465682,121.695,17.548
Gattaran,PH021513000,Cagayan,PH021500000,Region II,PH020000000,21513000,12/31/19,163325.352,638958651.5,121.88,18.052
Gonzaga,PH021514000,Cagayan,PH021500000,Region II,PH020000000,21514000,12/31/19,124077.912,527456908.3,122.124,18.251
Iguig,PH021515000,Cagayan,PH021500000,Region II,PH020000000,21515000,12/31/19,46536.804,78185519.56,121.755,17.747
Lal-Lo,PH021516000,Cagayan,PH021500000,Region II,PH020000000,21516000,12/31/19,182098.662,641550691,121.855,18.154
Lasam,PH021517000,Cagayan,PH021500000,Region II,PH020000000,21517000,12/31/19,68850.56,206964450.4,121.54,18.059
Pamplona,PH021518000,Cagayan,PH021500000,Region II,PH020000000,21518000,12/31/19,69829.223,213082442.9,121.328,18.445
Peñablanca,PH021519000,Cagayan,PH021500000,Region II,PH020000000,21519000,12/31/19,156177.433,1138858156,121.966,17.684
Piat,PH021520000,Cagayan,PH021500000,Region II,PH020000000,21520000,12/31/19,62850.473,132029800.1,121.517,17.774
Rizal,PH021521000,Cagayan,PH021500000,Region II,PH020000000,21521000,12/31/19,107291.236,340047087.9,121.393,17.914
Sanchez-Mira,PH021522000,Cagayan,PH021500000,Region II,PH020000000,21522000,12/31/19,60388.533,138309195.2,121.217,18.539
Santa Ana,PH021523000,Cagayan,PH021500000,Region II,PH020000000,21523000,12/31/19,198766.879,434780193.1,122.221,18.393
Santa Praxedes,PH021524000,Cagayan,PH021500000,Region II,PH020000000,21524000,12/31/19,55528.095,86270061.27,121,18.533
Santa Teresita,PH021525000,Cagayan,PH021500000,Region II,PH020000000,21525000,12/31/19,51198.542,127572128.7,121.903,18.216
Santo Niño,PH021526000,Cagayan,PH021500000,Region II,PH020000000,21526000,12/31/19,91462.776,361261600.9,121.531,17.913
Solana,PH021527000,Cagayan,PH021500000,Region II,PH020000000,21527000,12/31/19,83149.258,272931758.6,121.641,17.664
Tuao,PH021528000,Cagayan,PH021500000,Region II,PH020000000,21528000,12/31/19,69336.479,187913742.1,121.501,17.679
Tuguegarao City,PH021529000,Cagayan,PH021500000,Region II,PH020000000,21529000,12/31/19,62777.862,119597768.2,121.749,17.61
Alicia,PH023101000,Isabela,PH023100000,Region II,PH020000000,23101000,12/31/19,58422.707,158424860.8,121.675,16.815
Angadanan,PH023102000,Isabela,PH023100000,Region II,PH020000000,23102000,12/31/19,79318.415,194597915.6,121.803,16.78
Aurora,PH023103000,Isabela,PH023100000,Region II,PH020000000,23103000,12/31/19,50334.625,74771594.58,121.643,16.984
Benito Soliven,PH023104000,Isabela,PH023100000,Region II,PH020000000,23104000,12/31/19,83479.969,176759734.3,121.968,16.902
Burgos,PH023105000,Isabela,PH023100000,Region II,PH020000000,23105000,12/31/19,44129.431,77277865.9,121.719,17.063
Cabagan,PH023106000,Isabela,PH023100000,Region II,PH020000000,23106000,12/31/19,141283.517,307732032.2,121.881,17.386
Cabatuan,PH023107000,Isabela,PH023100000,Region II,PH020000000,23107000,12/31/19,35009.686,63926290.91,121.66,16.935
City of Cauayan,PH023108000,Isabela,PH023100000,Region II,PH020000000,23108000,12/31/19,120295.87,336683095,121.821,16.878
Cordon,PH023109000,Isabela,PH023100000,Region II,PH020000000,23109000,12/31/19,83778.211,224529097.2,121.432,16.723
Dinapigue,PH023110000,Isabela,PH023100000,Region II,PH020000000,23110000,12/31/19,168854.226,953075220.9,122.263,16.687
Divilacan,PH023111000,Isabela,PH023100000,Region II,PH020000000,23111000,12/31/19,156546.799,528551434.5,122.315,17.242
Echague,PH023112000,Isabela,PH023100000,Region II,PH020000000,23112000,12/31/19,144221.266,443856263.2,121.774,16.643
Gamu,PH023113000,Isabela,PH023100000,Region II,PH020000000,23113000,12/31/19,55425.042,96638668.91,121.806,17.074
Ilagan City,PH023114000,Isabela,PH023100000,Region II,PH020000000,23114000,12/31/19,174906.426,962432899.4,122.029,17.15
Jones,PH023115000,Isabela,PH023100000,Region II,PH020000000,23115000,12/31/19,125895.9,465168246.6,121.822,16.547
Luna,PH023116000,Isabela,PH023100000,Region II,PH020000000,23116000,12/31/19,30816.755,45603199.81,121.721,16.968
Maconacon,PH023117000,Isabela,PH023100000,Region II,PH020000000,23117000,12/31/19,117754.569,464222688.8,122.147,17.432
Delfin Albano,PH023118000,Isabela,PH023100000,Region II,PH020000000,23118000,12/31/19,62568.28,177891785,121.741,17.27
Mallig,PH023119000,Isabela,PH023100000,Region II,PH020000000,23119000,12/31/19,55900.139,116218996.8,121.622,17.21
Naguilian,PH023120000,Isabela,PH023100000,Region II,PH020000000,23120000,12/31/19,73275.098,163261102.4,121.88,16.978
Palanan,PH023121000,Isabela,PH023100000,Region II,PH020000000,23121000,12/31/19,131121.092,374385173.8,122.421,17.009
Quezon,PH023122000,Isabela,PH023100000,Region II,PH020000000,23122000,12/31/19,69603.501,216501835.4,121.612,17.31
Quirino,PH023123000,Isabela,PH023100000,Region II,PH020000000,23123000,12/31/19,70612.961,125534904,121.733,17.156
Ramon,PH023124000,Isabela,PH023100000,Region II,PH020000000,23124000,12/31/19,51814.5,126324823.1,121.521,16.789
Reina Mercedes,PH023125000,Isabela,PH023100000,Region II,PH020000000,23125000,12/31/19,34267.911,51619949.21,121.776,17.001
Roxas,PH023126000,Isabela,PH023100000,Region II,PH020000000,23126000,12/31/19,66565.41,118951131.5,121.611,17.123
San Agustin,PH023127000,Isabela,PH023100000,Region II,PH020000000,23127000,12/31/19,67212.224,188338967.8,121.77,16.466
San Guillermo,PH023128000,Isabela,PH023100000,Region II,PH020000000,23128000,12/31/19,111512.907,386598144.7,121.961,16.676
San Isidro,PH023129000,Isabela,PH023100000,Region II,PH020000000,23129000,12/31/19,37435.326,64404835.58,121.624,16.742
San Manuel,PH023130000,Isabela,PH023100000,Region II,PH020000000,23130000,12/31/19,49668.592,104024715.6,121.62,17.034
San Mariano,PH023131000,Isabela,PH023100000,Region II,PH020000000,23131000,12/31/19,190278.295,1397200484,122.157,16.903
San Mateo,PH023132000,Isabela,PH023100000,Region II,PH020000000,23132000,12/31/19,51921.49,110398719.7,121.588,16.875
San Pablo,PH023133000,Isabela,PH023100000,Region II,PH020000000,23133000,12/31/19,96907.441,450388160.6,121.938,17.475
Santa Maria,PH023134000,Isabela,PH023100000,Region II,PH020000000,23134000,12/31/19,54825.641,118960765.5,121.709,17.47
City of Santiago,PH023135000,Isabela,PH023100000,Region II,PH020000000,23135000,12/31/19,70572.769,151816538.8,121.557,16.678
Santo Tomas,PH023136000,Isabela,PH023100000,Region II,PH020000000,23136000,12/31/19,43166.659,77295939.07,121.73,17.37
Tumauini,PH023137000,Isabela,PH023100000,Region II,PH020000000,23137000,12/31/19,104961.871,400559500.5,121.928,17.292
Ambaguio,PH025001000,Nueva Vizcaya,PH025000000,Region II,PH020000000,25001000,12/31/19,61579.332,177470959.9,121.05,16.544
Aritao,PH025002000,Nueva Vizcaya,PH025000000,Region II,PH020000000,25002000,12/31/19,85866.784,291989838.5,121.029,16.237
Bagabag,PH025003000,Nueva Vizcaya,PH025000000,Region II,PH020000000,25003000,12/31/19,64923.856,146832756.4,121.262,16.598
Bambang,PH025004000,Nueva Vizcaya,PH025000000,Region II,PH020000000,25004000,12/31/19,70401.213,229802909.2,121.093,16.389
Bayombong,PH025005000,Nueva Vizcaya,PH025000000,Region II,PH020000000,25005000,12/31/19,52675.393,142526034.3,121.143,16.477
Diadi,PH025006000,Nueva Vizcaya,PH025000000,Region II,PH020000000,25006000,12/31/19,80018.135,210666265.9,121.356,16.642
Dupax del Norte,PH025007000,Nueva Vizcaya,PH025000000,Region II,PH020000000,25007000,12/31/19,127176.203,298077280.4,121.239,16.205
Dupax del Sur,PH025008000,Nueva Vizcaya,PH025000000,Region II,PH020000000,25008000,12/31/19,131176.57,412287056.1,121.188,16.118
Kasibu,PH025009000,Nueva Vizcaya,PH025000000,Region II,PH020000000,25009000,12/31/19,112118.07,616421379.4,121.34,16.329
Kayapa,PH025010000,Nueva Vizcaya,PH025000000,Region II,PH020000000,25010000,12/31/19,116339.165,517513971.6,120.922,16.4
Quezon,PH025011000,Nueva Vizcaya,PH025000000,Region II,PH020000000,25011000,12/31/19,66554.173,212248992.5,121.296,16.479
Santa Fe,PH025012000,Nueva Vizcaya,PH025000000,Region II,PH020000000,25012000,12/31/19,87231.671,247128504.3,120.903,16.183
Solano,PH025013000,Nueva Vizcaya,PH025000000,Region II,PH020000000,25013000,12/31/19,54740.001,88506711.76,121.177,16.545
Villaverde,PH025014000,Nueva Vizcaya,PH025000000,Region II,PH020000000,25014000,12/31/19,41111.886,67815883.4,121.154,16.605
Alfonso Castaneda,PH025015000,Nueva Vizcaya,PH025000000,Region II,PH020000000,25015000,12/31/19,91243.242,466632970.5,121.328,15.909
Aglipay,PH025701000,Quirino,PH025700000,Region II,PH020000000,25701000,12/31/19,122399.941,280306423.4,121.586,16.414
Cabarroguis,PH025702000,Quirino,PH025700000,Region II,PH020000000,25702000,12/31/19,78536.003,189082847.2,121.499,16.442
Diffun,PH025703000,Quirino,PH025700000,Region II,PH020000000,25703000,12/31/19,87527.949,287861035.4,121.459,16.55
Maddela,PH025704000,Quirino,PH025700000,Region II,PH020000000,25704000,12/31/19,157067.646,770622515.2,121.782,16.354
Saguday,PH025705000,Quirino,PH025700000,Region II,PH020000000,25705000,12/31/19,35191.061,50169931.18,121.577,16.548
Nagtipunan,PH025706000,Quirino,PH025700000,Region II,PH020000000,25706000,12/31/19,178492.48,1189967029,121.526,16.132
Abucay,PH030801000,Bataan,PH030800000,Region III,PH030000000,30801000,12/31/19,46071.915,76889023.91,120.487,14.722
